tweetid,userid,date,time,text,latitude,longitude,category,
947550078021066752,1627303460,2017-12-31,19:28:37,"b""@AvGeekAlex I'm on my way back home now but there were plenty of fireworks bring letboff around Rembrandt Plein bit dangerous if you ask me!",52.366323,4.896466,general,
947560762779754496,1166383453,2017-12-31,20:11:05,b' Benzinetank van auto vat vlam door vuurwerk Gibraltarpad Rotterdam https://t.co/TlvXJmF4RD',52.37311,4.90321,accident,
947566491809050624,46636209,2017-12-31,20:33:51,b'Well...this I a first for me!We have our own #FIREWORKS to let off at #midnight In the https://t.co/RuvAtXsduq',52.3731,4.8922,other,
947577347775107073,88039815,2017-12-31,21:16:59,b'#vuurwerk #amsterdam #2017  #2018  @ Amsterdam-Oost https://t.co/DQjyD8e9xX',52.36278889,4.90064722,other,
947582882591199233,2248165243,2017-12-31,21:38:59,b'People are now throwing fireworks at the giant Dam Square Christmas tree.  We are all going to burn in our beds.',52.37310,4.89270,violence,
947585692854575106,1615910352,2017-12-31,21:50:09,b'I can see why fireworks are illegal over here. The Dutch are mental with them',52.370264,4.892245,general,
947595307520577537,88039815,2017-12-31,22:28:21,b'#happynewyear #holland #nederland #iamsterdam #vuurwerk @ Amsterdam-Oost https://t.co/c45LZwD6du',52.32278889,4.89064722,positive,
947589041062629377,495768281,2017-12-31,22:03:27,b'Everyone in dam square stood in a massive circle throwing fireworks in the centre',52.37300,4.89260,violence,
947601529669693440,160467016,2017-12-31,22:53:04,b'Stroom mensen richting het grote vuurwerk. #java eiland',52.378560,4.928894,other,
947600571216703489,821403394892058624,2017-12-31,22:49:16,"b'@WGroenheide Ik kijk min of meer op het Vondelpark ruim gezien,en ik zie vuurwerk siervuurwerk best wel mooi en https://t.co/0Xilbs0oi0'",52.357985,4.866889,positive,
947603746191790081,797756542401519616,2017-12-31,23:01:53,"b'Ey daggoes die vuurwerk aan het aansteken zijn bij slotervaart,dindyemakom! Mn nichtje is wakker geworden daggoes'",52.356740,4.827141,general,
947606533961109505,30830722,2017-12-31,23:12:58,b'The firework game in Amsterdam is pretty legit. #newyear @ Amsterdam Oud-Zuid https://t.co/LkWcbXECga',52.35194,4.87972,positive,
947607724770111489,876915261617709057,2017-12-31,23:17:41,b'Prachtig vuurwerk boven De Aker.',52.351097,4.781214,positive,
947611821187522561,5898872,2017-12-31,23:33:58,"b'Gelukkig nieuwjaar van de Fredlees Hans en Linda. #Oosterkerk #vuurwerk @ Kadijken https://t.co/jgMNQBNIjk'",52.36926111,4.92281944,positive,
947614085075689472,450758697,2017-12-31,23:42:58,"b' Fireworks Prayer and Worship from the Prayer Tower! Amazing way to welcome in 2018! See https://t.co/bYs1ldaasM'",52.37059,4.91312,positive,
947614996653109249,2339453528,2017-12-31,23:46:35,b'Happy New Year Looking forward to 2018 going to be a big year #nye #nyd #firework #fireworkshow https://t.co/N1UKJl92w4',52.3731,4.8922,positive,
947615798604034049,77698657,2017-12-31,23:49:46,b'Happy New Year from the explosion madhouse! Fireworks like this for 50 mins straight now. @ https://t.co/LMK5fZiSOM',52.37251,4.87681,general,
947618013028671489,63891625,2017-12-31,23:58:34,b'#fireworks #amsterdam #rooftop  #onehourlater #stillgoingon #onlyinamsterdam @ Amsterdam Oud-Zuid https://t.co/u4LSyB6pIk',52.35194,4.87972,other,
947621550617792512,8492832,2018-01-01,00:12:38,b'#vuurwerk recht tegen over #artis wel of niet toegestaan? Volgens dit kaartje wel op enkel stukje na op Plantage Ke https://t.co/2ItJzifEo7',52.365557,4.915359,animals,
947621627705032704,827748870,2018-01-01,00:12:56,b'Londons fireworks are fucking nuts. But Amsterdams were better. Happy new year you amazing lot x',52.31278889,4.95064722,positive,
947623363056472064,197885494,2018-01-01,00:19:50,"b'#vuurwerk #honden campagne op sociale media ""gun ze een plaspauze tussen 22.00 en 23.00"" Mijn hond heeft sinds 14.00 geen plaspauze gehad!'",52.363526,4.864028,animals,
947630222194696192,7305132,2018-01-01,00:47:05,"b'Met vooral veel paars geel groen en roze vuurwerk. Echt mooie pakketen.. #balboaplein #020west #DeBaarsjes Happy New Year'",52.368746,4.855990,positive,
947631084770152448,25560501,2018-01-01,00:50:31,b'Happy new year from Amsterdam #amsterdam #fireworks #streetphotography #iamsterdam https://t.co/jZ9RYUtSIJ',52.3731,4.8922,positive,
947635419591606273,226282171,2018-01-01,01:07:44,b'Happy New Years from Amsterdam. Theres no shying away from fireworks here. @ Brouwersgracht https://t.co/ccbLRaT8FW',52.37972,4.88917,positive,
947665414598938624,552610217,2018-01-01,03:06:56,b'Vuurwerk Oud en Nieuw Rembrandplein Amsterdam https://t.co/e0uI1EHvvE',52.366361,4.896353,other,
947679294150418432,1166383453,2018-01-01,04:02:05,"b' Vuurwerkshow in Den Haag afgelast maatregelen bij vuurwerk Amsterdam https://t.co/HwrF65OY7F'",52.37319,4.89329,enforcement,
947683182303887360,1166383453,2018-01-01,04:17:32,"b' Vuurwerkshow in Den Haag afgelast maatregelen bij vuurwerk Amsterdam https://t.co/HwrF65OY7F'",52.37414,4.90324,enforcement,
947734138714439680,1166383453,2018-01-01,07:40:01,b'Gelukkig Nieuwjaar #BTSxRockinEve Happy New Year #top2000 #vuurwerk #Youp #WhatsApp\ Iran Dat 2018 https://t.co/eJ1aITkG48',52.3730,4.8930,positive,
947736581443653632,14384597,2018-01-01,07:49:43,"b""Well the remains of some kids' fireworks burnt down but at least it made some people happy @ https://t.co/Ix1CvUqeEM""",52.37251,4.87681,waste,
